0.312243	0.58034	0	0	0.312243	0.58034	0.6	0.6	5.19994	0
1.17209	0.481276	7.81698	-0.900606	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1.65735	0.619509	4.98014	1.28415	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
2.18294	0.666197	5.14372	0.799209	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
2.66794	0.690149	5.01527	0.554423	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
3.07379	0.679549	4.6705	0.316421	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
3.73391	0.492624	5.29505	-0.390612	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
4.28676	0.517102	5.36721	-0.194219	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
4.59415	0.692734	4.66472	0.403265	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
5.27806	0.692816	5.33448	0.2793	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
5.91035	0.715051	5.64123	0.261628	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
6.41271	0.838374	5.44862	0.56461	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
6.87554	0.810289	5.19228	0.300424	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
7.2744	0.894987	4.81602	0.471277	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
7.77907	0.837848	4.88811	0.145419	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
8.25857	0.846748	4.85902	0.127792	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
8.74525	0.9479	4.86147	0.403836	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
9.2428	1.01672	4.89707	0.492663	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
9.88014	1.24358	5.35818	1.04735	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
10.338	1.40007	5.1148	1.20901	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
10.7942	1.48905	4.94219	1.10928	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
11.428	1.60682	5.37789	1.13066	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
11.8784	1.73205	5.10496	1.16865	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
12.3579	1.81836	5.00821	1.07321	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
12.7343	2.04224	4.61949	1.43728	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
13.1454	2.2893	4.46073	1.76004	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
13.7057	2.53984	4.81765	1.99285	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
14.1983	2.83396	4.85131	2.28906	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
14.5797	2.99018	4.52757	2.06205	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
15.0295	3.34141	4.51819	2.51501	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
15.5011	3.70341	4.57983	2.86016	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
15.9676	3.99481	4.60669	2.87697	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
16.383	4.35844	4.46504	3.11415	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
16.7241	4.67153	4.13581	3.11938	16.6039	4.67344	16.613	4.5849	3.74	3.28438
17.0712	5.0898	3.92827	3.4515	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
17.3824	5.43517	3.67341	3.45219	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
17.7664	5.70766	3.72526	3.22502	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
18.133	6.09544	3.70687	3.42892	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
18.3694	6.54257	3.28756	3.7545	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
18.6253	6.84423	3.05981	3.52404	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
19.0307	7.19047	3.37051	3.50478	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
19.2023	7.69416	2.85372	3.98334	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
19.3215	8.1093	2.33453	4.03582	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
19.4578	8.41686	2.03101	3.7359	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
19.8212	8.83725	2.5317	3.88209	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
20.1131	9.33483	2.65292	4.22369	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
20.2751	9.82803	2.33014	4.44493	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
20.3482	10.3642	1.83078	4.73132	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
20.4564	10.9184	1.59684	4.9846	20.371	11.0109	20.1663	10.864	0.722256	4.7934
20.4761	11.3849	1.1594	4.88454	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
20.6023	11.9055	1.19165	4.98502	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
20.5368	12.4473	0.614777	5.12026	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
20.5514	12.928	0.468455	5.02255	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
20.4095	13.3081	-0.121218	4.64086	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
20.3633	13.8271	-0.227531	4.81232	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
20.2382	14.3217	-0.547222	4.85429	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
